Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,review_total,review_total_clean,compound,review_tag_vader
24 rue de Ponthieu 8th arr 75008 Paris France,203,6/6/2016,8.1,H tel Beauchamps, Brunei , Would love to have English movies as part of their channel as we don t understand French Got lost when we first wanted to find our own room but one of the staffs quickly showed us the way We requested for black themed room and got red instead They made the change quickly without fuss ,57,1463, The bed is amazing Room is cosy Location is great very near to Champ Elysees Very friendly and helpful staffs in the hotel Check in check out was quick and easy Great hospitality Clean modern room The black room is much bigger and better than the red room it is both a standard room Although we stayed next to the street couldn t hear anything from outside The hotel was under renovation when we stayed there and we were quite worried it will be too noisy during our stay but surprisingly it was kept to the minimal and we stayed on 5th Level and we couldn t hear any single thing Awesome Love everything about this hotel Worth the money spent It made our 1st time in Paris experience that much more memorable Thank you Hotel Beauchamps ,139,2,10.0,"[' Leisure trip ', ' Group ', ' Classic Room ', ' Stayed 3 nights ']",423 day,48.87096,2.3091617, Would love to have English movies as part of their channel as we don t understand French Got lost when we first wanted to find our own room but one of the staffs quickly showed us the way We requested for black themed room and got red instead They made the change quickly without fuss  The bed is amazing Room is cosy Location is great very near to Champ Elysees Very friendly and helpful staffs in the hotel Check in check out was quick and easy Great hospitality Clean modern room The black room is much bigger and better than the red room it is both a standard room Although we stayed next to the street couldn t hear anything from outside The hotel was under renovation when we stayed there and we were quite worried it will be too noisy during our stay but surprisingly it was kept to the minimal and we stayed on 5th Level and we couldn t hear any single thing Awesome Love everything about this hotel Worth the money spent It made our 1st time in Paris experience that much more memorable Thank you Hotel Beauchamps ,would love to have english movies as part of their channel as we don understand french got lost when we first wanted to find our own room but one of the staffs quickly showed us the way we requested for black themed room and got red instead they made the change quickly without fuss the bed is amazing room is cosy location is great very near to champ elysees very friendly and helpful staffs in the hotel check in check out was quick and easy great hospitality clean modern room the black room is much bigger and better than the red room it is both standard room although we stayed next to the street couldn hear anything from outside the hotel was under renovation when we stayed there and we were quite worried it will be too noisy during our stay but surprisingly it was kept to the minimal and we stayed on level and we couldn hear any single thing awesome love everything about this hotel worth the money spent it made our time in paris experience that much more memorable thank you hotel beauchamps,0.9963,Positive
372 Strand Westminster Borough London WC2R 0JJ United Kingdom,2288,5/31/2016,8.1,Strand Palace Hotel, United Kingdom , Nothing ,3,9568, Great location room ideal bed comfy Staff were very pleasant ,12,12,10.0,"[' Leisure trip ', ' Couple ', ' Cosy Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",429 day,51.5110993,-0.1208673, Nothing  Great location room ideal bed comfy Staff were very pleasant ,nothing great location room ideal bed comfy staff were very pleasant,0.5717,Positive
Viale Fulvio Testi 300 Bicocca Zara 20126 Milan Italy,108,9/24/2015,8.5,Starhotels Tourist, Romania , It is pretty difficult to reach it when the metro is not running the hotel is located at the end of a metro line Absolutely no shop nearby if you want to buy something water for example please do it downtown There was a strange persistent unpleasant smell in the room situated on the first floor coming probably from outside Beds towels bathroom were utterly clean but we couldn t contain the smell even with closed windows Sorry for that otherwise the hotel meets high standards ,88,2135, A quality hotel with high standards Friendly staff good breakfast ,12,5,8.3,"[' Leisure trip ', ' Couple ', ' Classic Double or Twin Room ', ' Stayed 3 nights ']",679 day,45.5266395,9.2131549, It is pretty difficult to reach it when the metro is not running the hotel is located at the end of a metro line Absolutely no shop nearby if you want to buy something water for example please do it downtown There was a strange persistent unpleasant smell in the room situated on the first floor coming probably from outside Beds towels bathroom were utterly clean but we couldn t contain the smell even with closed windows Sorry for that otherwise the hotel meets high standards  A quality hotel with high standards Friendly staff good breakfast ,it is pretty difficult to reach it when the metro is not running the hotel is located at the end of metro line absolutely no shop nearby if you want to buy something water for example please do it downtown there was strange persistent unpleasant smell in the room situated on the first floor coming probably from outside beds towels bathroom were utterly clean but we couldn contain the smell even with closed windows sorry for that otherwise the hotel meets high standards quality hotel with high standards friendly staff good breakfast,0.8271,Neutral
Llan 24 Eixample 08015 Barcelona Spain,53,12/4/2016,8.6,Ofelias Hotel 4 Sup, United Kingdom , The temperature in the room was so hot Heating but no air conditioning on ,16,343, Location was very good ,6,1,7.1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",242 day,41.3957584,2.1822402, The temperature in the room was so hot Heating but no air conditioning on  Location was very good ,the temperature in the room was so hot heating but no air conditioning on location was very good,0.359,Positive
7 Pepys Street City of London London EC3N 4AF United Kingdom,1936,7/30/2017,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom , Key cards kept stopping working drinks in the bar very overpriced and service charge added onto everything The Natural restaurant is also very overpriced and food not that good Far better food and drink available only a short walking distance away,42,7491, Perfect location for seeing the sights and secure underground parking was a bonus although cost 30 per night,19,4,7.1,"[' Leisure trip ', ' Couple ', ' Queen Room Mobility Access ', ' Stayed 1 night ']",4 days,51.5108412,-0.0780581, Key cards kept stopping working drinks in the bar very overpriced and service charge added onto everything The Natural restaurant is also very overpriced and food not that good Far better food and drink available only a short walking distance away Perfect location for seeing the sights and secure underground parking was a bonus although cost 30 per night,key cards kept stopping working drinks in the bar very overpriced and service charge added onto everything the natural restaurant is also very overpriced and food not that good far better food and drink available only short walking distance away perfect location for seeing the sights and secure underground parking was bonus although cost per night,0.8999,Negative
69 Boulevard Victor 15th arr 75015 Paris France,63,9/15/2015,8.5,Mercure Vaugirard Paris Porte De Versailles, United Kingdom ,No Negative,0,843, lovely rooms helpful staff that could speak English and help us with directions right outside metro station close by to main attractions using the metro,26,1,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room with Sofa ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",688 day,48.8330649,2.2879617,No Negative lovely rooms helpful staff that could speak English and help us with directions right outside metro station close by to main attractions using the metro,no negative lovely rooms helpful staff that could speak english and help us with directions right outside metro station close by to main attractions using the metro,0.7351,Positive
335 337 High Street Stratford Newham London E15 2TF United Kingdom,293,8/30/2016,9.0,The Westbridge Hotel, United Kingdom ,No Negative,0,1200, The bed was superb and the air con a dream to operate,13,1,10.0,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ']",338 day,51.5373904,-0.0023367,No Negative The bed was superb and the air con a dream to operate,no negative the bed was superb and the air con dream to operate,0.0516,Positive
1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,1058,4/4/2016,7.7,The Park Grand London Paddington, United Kingdom ,No Negative,0,4380, Very kind and helpful staff great service 5 ,10,2,10.0,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",486 day,51.5142184,-0.1809032,No Negative Very kind and helpful staff great service 5 ,no negative very kind and helpful staff great service,0.7146,Positive
50 Lancaster Gate Westminster Borough London W2 3NA United Kingdom,417,1/16/2017,6.7,Commodore Hotel, Germany , The mattress was quite worn A new one is badly necessary For the next one it might be clever to use a mattress cover to expand the lifespan of the mattresses As our room was in the basement we cleary heard the underground trains passing the hotel If you are very sensitive to noises you shall mention this before ,61,2400, The location is excellent right at the Hyde Park and within walking distance to Paddington station Lancaster Gate Bus stop is also nearby Staff was very nice and polite and helpful We even got an better room than we have booked We loved the look of the Lobby area Very nice to come in after a long and cold day in the city and sitting in front of the fire ,72,13,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ']",199 day,51.5124496,-0.1795215, The mattress was quite worn A new one is badly necessary For the next one it might be clever to use a mattress cover to expand the lifespan of the mattresses As our room was in the basement we cleary heard the underground trains passing the hotel If you are very sensitive to noises you shall mention this before  The location is excellent right at the Hyde Park and within walking distance to Paddington station Lancaster Gate Bus stop is also nearby Staff was very nice and polite and helpful We even got an better room than we have booked We loved the look of the Lobby area Very nice to come in after a long and cold day in the city and sitting in front of the fire ,the mattress was quite worn new one is badly necessary for the next one it might be clever to use mattress cover to expand the lifespan of the mattresses as our room was in the basement we cleary heard the underground trains passing the hotel if you are very sensitive to noises you shall mention this before the location is excellent right at the hyde park and within walking distance to paddington station lancaster gate bus stop is also nearby staff was very nice and polite and helpful we even got an better room than we have booked we loved the look of the lobby area very nice to come in after long and cold day in the city and sitting in front of the fire,0.9402,Positive
Gran Via 550 Eixample 08011 Barcelona Spain,167,5/19/2016,8.8,Hotel Vueling Bcn by HC, United States of America ,No Negative,0,1696, Had a great room at the back of the hotel Staff were very helpful particularly Sophie is great Lots of restaurant within the walking distance,26,3,8.8,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 5 nights ']",441 day,41.3831641,2.1604736,No Negative Had a great room at the back of the hotel Staff were very helpful particularly Sophie is great Lots of restaurant within the walking distance,no negative had great room at the back of the hotel staff were very helpful particularly sophie is great lots of restaurant within the walking distance,0.7501,Positive
